Label,Location,Registration,DateTime,SpeedKM,Driver,CostCentre,lat,long
HQN882,"Ohoka Road, Kaiapoi, Waimakariri",HQN882,Tue 3 Feb 1:40 p.m.,102,,,-43.3863,172.641113
HQN882,"Christchurch Northern Motorway, Kaiapoi, Waimakariri",HQN882,Tue 3 Feb 1:41 p.m.,107,,,-43.38204,172.643096
HQN882,"West Coast Road, Springfield, Selwyn",HQN882,Wed 4 Feb 9:04 a.m.,101,,,-43.32752,171.85083
HQN882,"West Coast Road, Cass, Selwyn",HQN882,Wed 4 Feb 9:40 a.m.,101,,,-43.0758,171.76976
HQN882,"West Coast Road, Arthurs Pass, Selwyn",HQN882,Wed 4 Feb 2:30 p.m.,104,,,-43.03118,171.671234
HQN882,"West Coast Road, Castle Hill, Selwyn",HQN882,Wed 4 Feb 2:54 p.m.,105,,,-43.16407,171.723922
HQN882,"West Coast Road, Castle Hill, Selwyn",HQN882,Wed 4 Feb 3:13 p.m.,112,,,-43.29682,171.736679
HQN882,"West Coast Road, Springfield, Selwyn",HQN882,Wed 4 Feb 3:18 p.m.,117,,,-43.31988,171.780364
HQN882,"West Coast Road, Springfield, Selwyn",HQN882,Wed 4 Feb 3:20 p.m.,107,,,-43.33119,171.80513
HQN882,"West Coast Road, Springfield, Selwyn",HQN882,Wed 4 Feb 3:20 p.m.,102,,,-43.33159,171.811553
HQN882,"West Coast Road, Springfield, Selwyn",HQN882,Wed 4 Feb 3:20 p.m.,102,,,-43.33095,171.817871
HQN882,"West Coast Road, Springfield, Selwyn",HQN882,Wed 4 Feb 3:20 p.m.,101,,,-43.3303,171.824279
HQN882,"West Coast Road, Springfield, Selwyn",HQN882,Wed 4 Feb 3:24 p.m.,103,,,-43.33037,171.892715
HQN882,"West Coast Road, Springfield, Selwyn",HQN882,Wed 4 Feb 3:32 p.m.,105,,,-43.34885,171.949707
HQN882,"West Coast Road, Springfield, Selwyn",HQN882,Wed 4 Feb 3:32 p.m.,105,,,-43.35168,171.95465
HQN882,"West Coast Road, Springfield, Selwyn",HQN882,Wed 4 Feb 3:32 p.m.,107,,,-43.35449,171.959533
HQN882,"West Coast Road, Springfield, Selwyn",HQN882,Wed 4 Feb 3:33 p.m.,104,,,-43.35732,171.964416
HQN882,"West Coast Road, Springfield, Selwyn",HQN882,Wed 4 Feb 3:33 p.m.,106,,,-43.3602,171.969436
HQN882,"West Coast Road, Springfield, Selwyn",HQN882,Wed 4 Feb 3:33 p.m.,102,,,-43.36299,171.974319
HQN882,"West Coast Road, Springfield, Selwyn",HQN882,Wed 4 Feb 3:34 p.m.,102,,,-43.36582,171.979248
HQN882,"West Coast Road, Springfield, Selwyn",HQN882,Wed 4 Feb 3:34 p.m.,101,,,-43.36873,171.984313
HQN882,"West Coast Road, Springfield, Selwyn",HQN882,Wed 4 Feb 3:34 p.m.,101,,,-43.37442,171.994277
HQN882,"West Coast Road, Springfield, Selwyn",HQN882,Wed 4 Feb 3:35 p.m.,104,,,-43.37729,171.999252
HQN882,"West Coast Road, Sheffield, Selwyn",HQN882,Wed 4 Feb 3:35 p.m.,107,,,-43.38011,172.00415
