Label,Location,Registration,DateTime,SpeedKM,Driver,CostCentre,lat,long
HQN882,"Main South Road, Burnham, Selwyn",HQN882,Thu 15 Jan 8:14 a.m.,109,,,-43.60745,172.335403
HQN882,"Main South Road, Dunsandel, Selwyn",HQN882,Thu 15 Jan 8:20 a.m.,106,,,-43.65146,172.217315
HQN882,"Main South Road, Dunsandel, Selwyn",HQN882,Thu 15 Jan 8:21 a.m.,105,,,-43.65359,172.211669
HQN882,"Main South Road, Bankside, Selwyn",HQN882,Thu 15 Jan 8:30 a.m.,109,,,-43.71451,172.07164
HQN882,"Rangitata Highway, Hinds, Ashburton",HQN882,Thu 15 Jan 9:16 a.m.,108,,,-44.04012,171.438049
HQN882,"Rangitata Highway, Hinds, Ashburton",HQN882,Thu 15 Jan 9:16 a.m.,102,,,-44.04171,171.432189
HQN882,"OrarI-Rangitata Highway, Rangitata, Timaru",HQN882,Thu 15 Jan 9:21 a.m.,106,,,-44.07592,171.355621
HQN882,"OrarI-Rangitata Highway, Rangitata, Timaru",HQN882,Thu 15 Jan 9:21 a.m.,105,,,-44.07881,171.350814
HQN882,"TemukA-Orari Highway, Temuka, Timaru",HQN882,Thu 15 Jan 9:32 a.m.,103,,,-44.20258,171.276702
HQN882,"Dominion Road, Kerrytown, Timaru",HQN882,Thu 15 Jan 9:41 a.m.,101,,,-44.29587,171.259902
HQN882,"TemukA-Orari Highway, Orari, Timaru",HQN882,Thu 15 Jan 3:05 p.m.,111,,,-44.15597,171.289886
HQN882,"TemukA-Orari Highway, Orari, Timaru",HQN882,Thu 15 Jan 3:05 p.m.,102,,,-44.15169,171.291748
HQN882,"OrarI-Rangitata Highway, Rangitata, Timaru",HQN882,Thu 15 Jan 3:08 p.m.,109,,,-44.11187,171.312164
HQN882,"OrarI-Rangitata Highway, Rangitata, Timaru",HQN882,Thu 15 Jan 3:09 p.m.,108,,,-44.10752,171.314743
HQN882,"Hinds Highway, Hinds, Ashburton",HQN882,Thu 15 Jan 3:26 p.m.,101,,,-43.98662,171.597595
HQN882,"Hinds Highway, Winslow, Ashburton",HQN882,Thu 15 Jan 3:30 p.m.,104,,,-43.95066,171.663864
HQN882,"Rakaia Highway, Chertsey, Ashburton",HQN882,Thu 15 Jan 3:54 p.m.,104,,,-43.78479,171.973297
HQN882,"Main South Road, Bankside, Selwyn",HQN882,Thu 15 Jan 4:10 p.m.,103,,,-43.68549,172.126754
HQN882,"Main South Road, Bankside, Selwyn",HQN882,Thu 15 Jan 4:10 p.m.,102,,,-43.68328,172.132553
HQN882,"Main South Road, Burnham, Selwyn",HQN882,Thu 22 Jan 8:18 a.m.,108,,,-43.63171,172.271347
HQN882,"Main South Road, Burnham, Selwyn",HQN882,Thu 22 Jan 8:19 a.m.,102,,,-43.63595,172.260192
HQN882,"Main South Road, Dunsandel, Selwyn",HQN882,Thu 22 Jan 8:22 a.m.,108,,,-43.6523,172.215133
HQN882,"Main South Road, Dunsandel, Selwyn",HQN882,Thu 22 Jan 8:22 a.m.,101,,,-43.6545,172.209335
HQN882,"Main South Road, Bankside, Selwyn",HQN882,Thu 22 Jan 8:26 a.m.,105,,,-43.68198,172.136077
HQN882,"Rakaia Highway, Chertsey, Ashburton",HQN882,Thu 22 Jan 8:44 a.m.,107,,,-43.81555,171.901458
HQN882,"Rakaia Highway, Chertsey, Ashburton",HQN882,Thu 22 Jan 8:44 a.m.,101,,,-43.81785,171.896087
HQN882,"Hinds Highway, Winslow, Ashburton",HQN882,Thu 22 Jan 9:11 a.m.,102,,,-43.94754,171.669494
HQN882,"Seadown Road, Seadown, Timaru",HQN882,Thu 22 Jan 3:31 p.m.,102,,,-44.33319,171.256378
HQN882,"Rangitata Highway, Hinds, Ashburton",HQN882,Thu 22 Jan 4:04 p.m.,109,,,-44.02091,171.51387
HQN882,"Hinds Highway, Hinds, Ashburton",HQN882,Thu 22 Jan 4:09 p.m.,113,,,-43.9876,171.595657
HQN882,"Hinds Highway, Winslow, Ashburton",HQN882,Thu 22 Jan 4:13 p.m.,107,,,-43.95127,171.662628
HQN882,"Main South Road, Burnham, Selwyn",HQN882,Thu 29 Jan 7:07 a.m.,111,,,-43.60555,172.340393
HQN882,"Main South Road, Burnham, Selwyn",HQN882,Thu 29 Jan 7:07 a.m.,101,,,-43.60777,172.334671
HQN882,"455 Hinds Highway, Winslow 7775.",HQN882,Thu 29 Jan 8:03 a.m.,102,,,-43.94793,171.668594
HQN882,"Rangitata Highway, Hinds, Ashburton",HQN882,Thu 29 Jan 8:17 a.m.,113,,,-44.04168,171.432189
HQN882,"Rangitata Highway, Hinds, Ashburton",HQN882,Thu 29 Jan 8:17 a.m.,110,,,-44.04321,171.4263
HQN882,"Hinds Highway, Hinds, Ashburton",HQN882,Thu 29 Jan 3:30 p.m.,105,,,-43.98871,171.593704
HQN882,"Hinds Highway, Hinds, Ashburton",HQN882,Thu 29 Jan 3:30 p.m.,101,,,-43.98588,171.598861
HQN882,"Hinds Highway, Winslow, Ashburton",HQN882,Thu 29 Jan 3:35 p.m.,107,,,-43.95016,171.664642
HQN882,"Near 455 Hinds Highway, Winslow 7775.",HQN882,Thu 29 Jan 3:35 p.m.,102,,,-43.94732,171.669784
HQN882,"Rakaia Highway, Fairton, Ashburton",HQN882,Thu 29 Jan 3:50 p.m.,102,,,-43.8564,171.820205
HQN882,"Rakaia Highway, Chertsey, Ashburton",HQN882,Thu 29 Jan 3:54 p.m.,108,,,-43.8193,171.892715
HQN882,"Main South Road, Dunsandel, Selwyn",HQN882,Thu 29 Jan 4:19 p.m.,104,,,-43.65429,172.209808
HQN882,"Main South Road, Burnham, Selwyn",HQN882,Thu 29 Jan 4:23 p.m.,107,,,-43.63354,172.266403
HQN882,"Main South Road, Burnham, Selwyn",HQN882,Thu 29 Jan 4:26 p.m.,101,,,-43.61019,172.328125
HQN883,"Avonhead Road, Avonhead, Christchurch City",HQN883,Thu 22 Jan 3:13 p.m.,124,,,-43.49843,172.549407
HQN884,"State Highway 1, Paekakariki, Kapiti Coast",HQN884,Fri 23 Jan 8:21 a.m.,101,,,-40.96791,174.984527
HQN884,"State Highway 1, Raumati South, Kapiti Coast",HQN884,Fri 23 Jan 8:22 a.m.,101,,,-40.95018,174.989501
HQN885,"East TaierI-Allanton Road, Allanton, Dunedin City",HQN885,Thu 15 Jan 7:48 a.m.,101,,,-45.91003,170.28746
HQN885,"AllantoN-Waihola Road, Otokia, Dunedin City",HQN885,Thu 15 Jan 7:55 a.m.,101,,,-45.96273,170.179824
HQN885,"AllantoN-Waihola Road, Henley, Dunedin City",HQN885,Thu 15 Jan 7:56 a.m.,102,,,-45.97759,170.153945
HQN885,"AllantoN-Waihola Road, Henley, Dunedin City",HQN885,Thu 15 Jan 7:57 a.m.,101,,,-45.98015,170.14859
HQN885,"AllantoN-Waihola Road, Henley, Dunedin City",HQN885,Thu 15 Jan 7:57 a.m.,102,,,-45.98302,170.143417
HQN885,"AllantoN-Waihola Road, Henley, Dunedin City",HQN885,Thu 15 Jan 7:57 a.m.,101,,,-45.98584,170.138275
HQN885,"Manuka Gorge Highway, Crichton, Clutha",HQN885,Thu 15 Jan 8:18 a.m.,101,,,-46.10274,169.876846
HQN885,"LaudeR-Omakau Road, Omakau, Central Otago",HQN885,Thu 15 Jan 3:03 p.m.,106,,,-45.07783,169.655761
HQN885,"OmakaU-Chatto Creek Road, Omakau, Central Otago",HQN885,Thu 15 Jan 3:13 p.m.,101,,,-45.12278,169.524902
HQN885,"AlexandrA-Fruitlands Road, Fruitlands, Central Otago",HQN885,Thu 15 Jan 3:45 p.m.,115,,,-45.30682,169.328186
HQN885,"AlexandrA-Fruitlands Road, Fruitlands, Central Otago",HQN885,Thu 15 Jan 3:45 p.m.,105,,,-45.31119,169.326309
HQN885,"AlexandrA-Fruitlands Road, Fruitlands, Central Otago",HQN885,Thu 15 Jan 3:46 p.m.,101,,,-45.3224,169.315368
HQN885,"AlexandrA-Fruitlands Road, Fruitlands, Central Otago",HQN885,Thu 15 Jan 3:46 p.m.,101,,,-45.32626,169.311874
HQN885,"AlexandrA-Fruitlands Road, Fruitlands, Central Otago",HQN885,Thu 15 Jan 3:47 p.m.,101,,,-45.33012,169.308456
HQN885,"AlexandrA-Fruitlands Road, Fruitlands, Central Otago",HQN885,Thu 15 Jan 3:47 p.m.,104,,,-45.33433,169.305664
HQN885,"AlexandrA-Fruitlands Road, Fruitlands, Central Otago",HQN885,Thu 15 Jan 3:47 p.m.,101,,,-45.33853,169.302978
HQN885,"FruitlandS-Roxburgh Road, Fruitlands, Central Otago",HQN885,Thu 15 Jan 3:48 p.m.,101,,,-45.343,169.301498
HQN885,"FruitlandS-Roxburgh Road, Fruitlands, Central Otago",HQN885,Thu 15 Jan 3:52 p.m.,101,,,-45.37725,169.282958
HQN885,"FruitlandS-Roxburgh Road, Fruitlands, Central Otago",HQN885,Thu 15 Jan 3:52 p.m.,101,,,-45.37927,169.28749
HQN885,"FruitlandS-Roxburgh Road, Fruitlands, Central Otago",HQN885,Thu 15 Jan 3:52 p.m.,101,,,-45.37985,169.288177
HQN885,"FruitlandS-Roxburgh Road, Fruitlands, Central Otago",HQN885,Thu 15 Jan 3:52 p.m.,104,,,-45.38402,169.290969
