Label,Location,Registration,DateTime,SpeedKM,Driver,CostCentre,lat,long
GBF208,"Ruakura Road, Ruakura, Waikato",GBF208,Tue 16 Jun 1:13 p.m.,102,,,-37.77189,175.340484
GBF208,"Ruakura Road, Ruakura, Waikato",GBF208,Tue 16 Jun 1:50 p.m.,102,,,-37.77489,175.343414
GBF208,"Ruakura Road, Ruakura, Waikato",GBF208,Tue 16 Jun 1:51 p.m.,103,,,-37.77126,175.339843
GBF208,"Mangaharakeke Drive, Horotiu, Waikato",GBF208,Wed 17 Jun 6:22 a.m.,101,,,-37.69281,175.213516
GBF208,"Mangaharakeke Drive, Horotiu, Waikato",GBF208,Wed 17 Jun 6:22 a.m.,104,,,-37.68827,175.214904
GBF208,"Entry Mangaharakeke Drive, Horotiu, Waikato",GBF208,Wed 17 Jun 6:23 a.m.,102,,,-37.68379,175.215042
GBF208,"Waikato Expressway, Horotiu, Waikato",GBF208,Wed 17 Jun 6:23 a.m.,101,,,-37.67983,175.212066
GBF208,"Waikato Expressway, Kainui, Waikato",GBF208,Wed 17 Jun 6:24 a.m.,104,,,-37.66223,175.206146
GBF208,"State Highway 1, Ohinewai, Waikato",GBF208,Wed 17 Jun 6:41 a.m.,101,,,-37.48749,175.160308
GBF208,"State Highway 1, Ohinewai, Waikato",GBF208,Wed 17 Jun 6:42 a.m.,103,,,-37.48289,175.160217
GBF208,"State Highway 1, Rangiriri, Waikato",GBF208,Wed 17 Jun 6:44 a.m.,102,,,-37.45575,175.154052
GBF208,"State Highway 1, Rangiriri, Waikato",GBF208,Wed 17 Jun 6:44 a.m.,101,,,-37.45124,175.152862
GBF208,"Entry 473 Beaver Road, Bombay, Auckland",GBF208,Wed 17 Jun 7:07 a.m.,104,,,-37.20585,174.993408
GBF208,"Southern Motorway, Ramarama, Auckland",GBF208,Wed 17 Jun 7:40 a.m.,102,,,-37.15924,174.979232
GBF208,"Southern Motorway, Wiri, Auckland",GBF208,Wed 17 Jun 8:00 a.m.,107,,,-36.99984,174.892318
GBF208,"Southern Motorway, Drury, Auckland",GBF208,Thu 18 Jun 6:19 p.m.,101,,,-37.12322,174.957763
GBF208,"Waikato Expressway, Pokeno, Waikato",GBF208,Thu 18 Jun 7:09 p.m.,101,,,-37.25809,175.039123
GBF208,"Mercer Expressway, Meremere, Waikato",GBF208,Thu 18 Jun 7:14 p.m.,105,,,-37.31563,175.066497
GBF208,"Waikato Expressway, Kainui, Waikato",GBF208,Thu 18 Jun 7:44 p.m.,103,,,-37.63651,175.206832
GBF208,"Waikato Expressway, Kainui, Waikato",GBF208,Thu 18 Jun 7:44 p.m.,106,,,-37.64124,175.206573
GBF208,"Waikato Expressway, Kainui, Waikato",GBF208,Thu 18 Jun 7:45 p.m.,101,,,-37.64582,175.206298
GBF208,"Waikato Expressway, Kainui, Waikato",GBF208,Thu 18 Jun 7:45 p.m.,107,,,-37.65055,175.206008
GBF208,"Waikato Expressway, Kainui, Waikato",GBF208,Thu 18 Jun 7:45 p.m.,106,,,-37.65511,175.205795
GBF208,"Waikato Expressway, Kainui, Waikato",GBF208,Thu 18 Jun 7:46 p.m.,101,,,-37.66418,175.206741
GBF208,"Waikato Expressway, Kainui, Waikato",GBF208,Thu 18 Jun 7:46 p.m.,103,,,-37.66875,175.207611
GBF208,"Exit Mangaharakeke Drive, Horotiu, Waikato",GBF208,Thu 18 Jun 7:47 p.m.,101,,,-37.68095,175.215179
GBF208,"Mangaharakeke Drive, Horotiu, Waikato",GBF208,Thu 18 Jun 7:48 p.m.,104,,,-37.68988,175.214584
GBF208,"Gordonton Road, Komakorau, Waikato",GBF208,Mon 22 Jun 11:50 a.m.,101,,,-37.64101,175.256011
GBF208,"Gordonton Road, Horsham Downs, Waikato",GBF208,Mon 22 Jun 11:58 a.m.,101,,,-37.70676,175.301071
GBF208,"State Highway 29, Piarere, MatamatA-Piako",GBF208,Tue 23 Jun 7:16 a.m.,102,,,-37.92277,175.681106
GBF208,"State Highway 29, Piarere, MatamatA-Piako",GBF208,Tue 23 Jun 7:16 a.m.,102,,,-37.92225,175.682266
GBF208,"State Highway 29, Piarere, MatamatA-Piako",GBF208,Tue 23 Jun 7:16 a.m.,104,,,-37.92097,175.686523
GBF208,"Near 2233 State Highway 29, Lower Kaimai 3171.",GBF208,Tue 23 Jun 7:41 a.m.,104,,,-37.82999,175.988433
GBF208,"State Highway 29, Lower Kaimai, Western Bay Of Plenty",GBF208,Tue 23 Jun 7:42 a.m.,101,,,-37.82402,175.99678
GBF208,"State Highway 29, Lower Kaimai, Western Bay Of Plenty",GBF208,Tue 23 Jun 7:46 a.m.,103,,,-37.79082,176.047744
GBF208,"2431 State Highway 29, Lower Kaimai 3171.",GBF208,Wed 24 Jun 10:15 a.m.,104,,,-37.86106,175.950057
GBF208,"2397-2731 State Highway, Lower Kaimai 3171.",GBF208,Wed 24 Jun 10:16 a.m.,101,,,-37.85867,175.954483
