Label,Location,Registration,DateTime,SpeedKM,Driver,CostCentre,lat,long
HQP101,"Northern Motorway, Northcote, Auckland",HQP101,Thu 7 May 8:33 a.m.,104,,,-36.79486,174.757675
HQP101,"Northern Motorway, Albany, Auckland",HQP101,Thu 7 May 8:39 a.m.,110,,,-36.72111,174.713729
HQP101,"Northern Motorway, Albany, Auckland",HQP101,Thu 7 May 8:39 a.m.,108,,,-36.71676,174.711563
HQP101,"Northern Motorway, Albany Heights, Auckland",HQP101,Thu 7 May 8:39 a.m.,102,,,-36.70855,174.70639
HQP101,"Northern Motorway, Redvale, Auckland",HQP101,Thu 7 May 8:40 a.m.,109,,,-36.70412,174.705429
HQP101,"Northern Motorway, Redvale, Auckland",HQP101,Thu 7 May 8:40 a.m.,106,,,-36.69949,174.704544
HQP101,"Northern Motorway, Redvale, Auckland",HQP101,Thu 7 May 8:40 a.m.,102,,,-36.69488,174.70375
HQP101,"Northern Motorway, Redvale, Auckland",HQP101,Thu 7 May 8:41 a.m.,106,,,-36.69024,174.70288
HQP101,"Northern Motorway, Redvale, Auckland",HQP101,Thu 7 May 8:41 a.m.,105,,,-36.68594,174.701019
HQP101,"Northern Motorway, Redvale, Auckland",HQP101,Thu 7 May 8:41 a.m.,105,,,-36.68216,174.697463
HQP101,"Northern Motorway, Redvale, Auckland",HQP101,Thu 7 May 8:41 a.m.,106,,,-36.68097,174.695663
HQP101,"Northern Motorway, Redvale, Auckland",HQP101,Thu 7 May 8:41 a.m.,101,,,-36.67976,174.692443
HQP101,"Northern Motorway, Redvale, Auckland",HQP101,Thu 7 May 8:42 a.m.,104,,,-36.6778,174.687255
HQP101,"Northern Motorway, Redvale, Auckland",HQP101,Thu 7 May 8:42 a.m.,105,,,-36.67409,174.683792
HQP101,"Northern Motorway, Dairy Flat, Auckland",HQP101,Thu 7 May 8:42 a.m.,102,,,-36.67005,174.681106
HQP101,"Northern Motorway, Dairy Flat, Auckland",HQP101,Thu 7 May 8:43 a.m.,111,,,-36.6668,174.677093
HQP101,"Northern Motorway, Dairy Flat, Auckland",HQP101,Thu 7 May 8:43 a.m.,109,,,-36.66371,174.672561
HQP101,"Northern Motorway, Dairy Flat, Auckland",HQP101,Thu 7 May 8:43 a.m.,107,,,-36.66045,174.668548
HQP101,"Northern Motorway, Dairy Flat, Auckland",HQP101,Thu 7 May 8:44 a.m.,114,,,-36.65647,174.66542
HQP101,"Northern Motorway, Silverdale, Auckland",HQP101,Thu 7 May 8:44 a.m.,102,,,-36.65206,174.663375
HQP101,"Northern Motorway, Silverdale, Auckland",HQP101,Thu 7 May 8:44 a.m.,105,,,-36.64736,174.662551
HQP101,"Northern Motorway, Silverdale, Auckland",HQP101,Thu 7 May 8:44 a.m.,108,,,-36.64287,174.662597
HQP101,"Northern Motorway, Silverdale, Auckland",HQP101,Thu 7 May 8:45 a.m.,105,,,-36.63827,174.662658
HQP101,"Northern Motorway, Silverdale, Auckland",HQP101,Thu 7 May 8:45 a.m.,103,,,-36.6337,174.662658
HQP101,"Northern Motorway, Silverdale, Auckland",HQP101,Thu 7 May 8:45 a.m.,103,,,-36.62897,174.662734
HQP101,"Northern Motorway, Silverdale, Auckland",HQP101,Thu 7 May 8:46 a.m.,104,,,-36.62435,174.662796
HQP101,"Northern Motorway, Upper Orewa, Auckland",HQP101,Thu 7 May 8:46 a.m.,101,,,-36.61975,174.662841
HQP101,"Northern Motorway, Upper Orewa, Auckland",HQP101,Thu 7 May 8:47 a.m.,104,,,-36.59749,174.662445
HQP101,"Northern Motorway, Upper Orewa, Auckland",HQP101,Thu 7 May 8:48 a.m.,103,,,-36.59291,174.662887
HQP101,"Northern Motorway, Upper Orewa, Auckland",HQP101,Thu 7 May 8:48 a.m.,107,,,-36.58849,174.664016
HQP101,"Northern Motorway, Upper Orewa, Auckland",HQP101,Thu 7 May 8:48 a.m.,107,,,-36.58389,174.6651
HQP101,"Northern Motorway, Upper Orewa, Auckland",HQP101,Thu 7 May 8:49 a.m.,102,,,-36.57101,174.67041
HQP101,"Northern Motorway, Upper Orewa, Auckland",HQP101,Thu 7 May 8:50 a.m.,101,,,-36.56666,174.672592
HQP101,"Northern Motorway, Upper Orewa, Auckland",HQP101,Thu 7 May 8:50 a.m.,104,,,-36.56367,174.676788
HQP101,"Northern Motorway, Upper Orewa, Auckland",HQP101,Thu 7 May 8:50 a.m.,108,,,-36.56008,174.680236
HQP101,"Northern Motorway, Waiwera, Auckland",HQP101,Thu 7 May 8:51 a.m.,103,,,-36.54653,174.680725
HQP101,"Northern Motorway, Waiwera, Auckland",HQP101,Thu 7 May 8:51 a.m.,106,,,-36.54191,174.681015
HQP101,"State Highway 1, Warkworth, Auckland",HQP101,Thu 7 May 9:08 a.m.,112,,,-36.39086,174.649017
HQP101,"State Highway 1, Brynderwyn, Kaipara",HQP101,Thu 7 May 9:53 a.m.,117,,,-36.1181,174.435699
HQP101,"State Highway 1, Ruakaka, Whangarei",HQP101,Thu 7 May 10:17 a.m.,110,,,-35.88547,174.425048
HQP101,"State Highway 1, Ruakaka, Whangarei",HQP101,Thu 7 May 10:17 a.m.,103,,,-35.88237,174.420959
HQP101,"State Highway 1, Mata, Whangarei",HQP101,Thu 7 May 10:20 a.m.,101,,,-35.85333,174.371582
