Label,Location,Registration,DateTime,SpeedKM,Driver,CostCentre,lat,long
HQN882,"1195-1213 Main South Road, Rolleston 7675.",HQN882,Tue 7 Oct 7:40 a.m.,101,,,-43.5689,172.440628
HQN882,"1497-1535 State Highway 1, Rolleston 7675.",HQN882,Tue 7 Oct 7:42 a.m.,104,,,-43.58245,172.407257
HQN882,"Main South Road, Rolleston 7614.",HQN882,Tue 7 Oct 7:45 a.m.,101,,,-43.59771,172.361083
HQN882,"Main South Road, Burnham 7675.",HQN882,Tue 7 Oct 7:50 a.m.,114,,,-43.63433,172.264404
HQN882,"Near Main South Road, Bankside 7783.",HQN882,Tue 7 Oct 8:02 a.m.,110,,,-43.72618,172.057708
HQN882,"State Highway 1, Rakaia 7781.",HQN882,Tue 7 Oct 8:09 a.m.,101,,,-43.78081,171.982757
HQN882,"2034 Rakaia Highway, Rakaia 7772.",HQN882,Tue 7 Oct 8:09 a.m.,119,,,-43.78311,171.977401
HQN882,"2034 Rakaia Highway, Rakaia 7772.",HQN882,Tue 7 Oct 8:09 a.m.,106,,,-43.78555,171.971771
HQN882,"Rangitata Highway, Hinds 7773.",HQN882,Tue 7 Oct 8:41 a.m.,104,,,-44.01939,171.520111
HQN882,"Rangitata Highway, Hinds 7773.",HQN882,Tue 7 Oct 8:41 a.m.,102,,,-44.0209,171.514022
HQN882,"Rangitata Highway, Hinds 7773.",HQN882,Tue 7 Oct 8:41 a.m.,107,,,-44.02242,171.507965
HQN882,"Near Orari-Rangitata Highway, Belfield 7992.",HQN882,Tue 7 Oct 8:52 a.m.,101,,,-44.10462,171.316467
HQN882,"149-155 Orari-Rangitata Highway, Orton 7992.",HQN882,Tue 7 Oct 8:54 a.m.,102,,,-44.12599,171.313186
HQN882,"87-103 Kellands Hill Road, Washdyke Flat 7974.",HQN882,Tue 7 Oct 11:03 a.m.,105,,,-44.36349,171.207321
HQN882,"62-118 Winchester-Geraldine Road, Temuka 7985.",HQN882,Tue 7 Oct 11:30 a.m.,107,,,-44.17886,171.272323
HQN882,"2193 Arundel Rakaia Gorge Road, Mayfield 7778.",HQN882,Tue 7 Oct 1:27 p.m.,102,,,-43.80681,171.434417
HQN882,"Near 259 Mayfield Valetta Road, Mayfield 7771.",HQN882,Tue 7 Oct 1:30 p.m.,103,,,-43.78573,171.465423
HQN882,"345-355 Mayfield Valetta Road, Mayfield 7771.",HQN882,Tue 7 Oct 1:31 p.m.,101,,,-43.78233,171.469665
HQN882,"Near 571 Mayfield Valetta Road, Valetta 7771.",HQN882,Tue 7 Oct 1:32 p.m.,101,,,-43.76883,171.486358
