Label,Location,Registration,DateTime,SpeedKM,Driver,CostCentre,lat,long
HQN882,"Main South Road, Burnham 7675.",HQN882,Tue 7 Oct 7:50 a.m.,114,NA,NA,-43.6343,172.264
HQN882,"2034 Rakaia Highway, Rakaia 7772.",HQN882,Tue 7 Oct 8:09 a.m.,119,NA,NA,-43.7831,171.977
HQN882,"Near 1608 Thompsons Track, Mitcham 7772.",HQN882,Tue 7 Oct 1:49 p.m.,114,NA,NA,-43.7498,171.822
HQN882,"Near 869 Ashworths Road, Sefton 7481.",HQN882,Wed 8 Oct 12:06 p.m.,115,NA,NA,-43.2377,172.721
HQN882,"81 Main South Road, Rolleston 7614.",HQN882,Thu 9 Oct 12:56 p.m.,113,NA,NA,-43.5948,172.368
HQN882,"Near Main South Road, Bankside 7783.",HQN882,Thu 9 Oct 1:13 p.m.,112,NA,NA,-43.7121,172.075
HQN882,"Near State Highway 1, Rakaia 7781.",HQN882,Thu 9 Oct 1:20 p.m.,116,NA,NA,-43.7804,171.984
HQN882,"2034 Rakaia Highway, Rakaia 7772.",HQN882,Thu 9 Oct 1:20 p.m.,130,NA,NA,-43.7828,171.978
HQN882,"Near 1347 Rakaia Highway, Chertsey 7772.",HQN882,Thu 9 Oct 1:24 p.m.,111,NA,NA,-43.8156,171.902
HQN882,"Near 639 Rakaia Highway, Fairton 7772.",HQN882,Thu 9 Oct 1:29 p.m.,119,NA,NA,-43.8547,171.823
HQN882,"3458-3648 State Highway 1, Dunsandel 7682.",HQN882,Thu 9 Oct 3:51 p.m.,113,NA,NA,-43.6668,172.176
HQN882,"3458-3648 State Highway 1, Dunsandel 7682.",HQN882,Thu 9 Oct 3:52 p.m.,112,NA,NA,-43.6647,172.182
HQN882,"Near Main South Road, Burnham 7675.",HQN882,Thu 9 Oct 3:57 p.m.,111,NA,NA,-43.6313,172.272
HQN882,"Main South Road, Dunsandel 7682.",HQN882,Fri 17 Oct 8:14 a.m.,111,NA,NA,-43.6827,172.134
HQN882,"Near Main South Road, Burnham 7675.",HQN882,Wed 22 Oct 8:08 a.m.,114,NA,NA,-43.6316,172.272
HQN882,"Main South Road, Dunsandel 7682.",HQN882,Wed 22 Oct 10:18 a.m.,114,NA,NA,-43.6854,172.127
HQN882,"Near Christchurch Southern Motorway, Wigram, Christchurch 8024.",HQN882,Wed 22 Oct 1:40 p.m.,113,NA,NA,-43.5462,172.585
HQN882,"State Highway 1, Dromore 7772.",HQN882,Thu 23 Oct 8:41 a.m.,112,NA,NA,-43.8515,171.828
HQN882,"Near Orari-Rangitata Highway, Belfield 7992.",HQN882,Thu 23 Oct 9:16 a.m.,118,NA,NA,-44.0777,171.353
HQN882,"Near 211 Orari-Rangitata Highway, Orton 7992.",HQN882,Thu 23 Oct 9:19 a.m.,114,NA,NA,-44.108,171.315
HQN882,"188-208 Temuka-Orari Highway, Winchester 7985.",HQN882,Thu 30 Oct 9:21 a.m.,118,NA,NA,-44.2024,171.277
HQN883,"Near 4859 Otira Highway, Jacksons 7875.",HQN883,Wed 29 Oct 11:38 a.m.,113,NA,NA,-42.7558,171.55
HQN883,"Near 2002 Otira Highway, Turiwhate 7875.",HQN883,Wed 29 Oct 11:57 a.m.,112,NA,NA,-42.7323,171.261
HQN883,"Near 447 Otira Highway, Kumara 7832.",HQN883,Wed 29 Oct 12:08 p.m.,113,NA,NA,-42.6191,171.173
HQN883,"Near 11626 West Coast Road, Bealey 7580.",HQN883,Thu 30 Oct 10:57 a.m.,115,NA,NA,-43.0202,171.747
HQN884,"424-456 State Highway, Otaki 5581.",HQN884,Tue 14 Oct 8:39 a.m.,112,NA,NA,-40.7356,175.189
HQN884,"773 State Highway 1, Manakau 5573.",HQN884,Tue 14 Oct 8:43 a.m.,119,NA,NA,-40.6917,175.233
HQN884,"107-205 State Highway 57, Levin 5571.",HQN884,Wed 15 Oct 9:12 a.m.,115,NA,NA,-40.644,175.292
HQN884,"621-863 State Highway, Te Horo 5581.",HQN884,Wed 15 Oct 3:41 p.m.,113,NA,NA,-40.8097,175.115
HQN884,"245 State Highway 1, Otaki 5581.",HQN884,Fri 31 Oct 4:29 p.m.,113,NA,NA,-40.7402,175.18
HQN884,"190-264 State Highway, Otaki 5581.",HQN884,Fri 31 Oct 4:30 p.m.,113,NA,NA,-40.7419,175.174
HQN884,"843 State Highway 1, Te Horo 5581.",HQN884,Fri 31 Oct 4:38 p.m.,112,NA,NA,-40.8084,175.116
HQN884,"Near 763 State Highway 1, Te Horo 5581.",HQN884,Fri 31 Oct 4:38 p.m.,119,NA,NA,-40.8124,175.113
HQN885,"Near Dunedin Northern Motorway, Upper Waitati 9085.",HQN885,Fri 10 Oct 2:17 p.m.,111,NA,NA,-45.7939,170.527
HQN885,"Near Palmerston-Waikouaiti Road, Goodwood 9481.",HQN885,Fri 17 Oct 12:07 p.m.,111,NA,NA,-45.5151,170.697
HQN885,"Near Taieri Plains Highway, Henley 9073.",HQN885,Thu 23 Oct 9:12 a.m.,113,NA,NA,-45.9794,170.15
HQN885,"Taieri Plains Highway, Henley 9073.",HQN885,Thu 23 Oct 9:12 a.m.,113,NA,NA,-45.9822,170.145
HQN885,"127 Manuka Gorge Highway, Milton 9292.",HQN885,Thu 23 Oct 9:31 a.m.,112,NA,NA,-46.1236,169.91
HQN885,"227-295 State Highway 8, Table Mound 9291.",HQN885,Thu 23 Oct 9:31 a.m.,116,NA,NA,-46.1207,169.905
HQN885,"Cromwell-Clyde Road, Cromwell Gorge 9383.",HQN885,Thu 23 Oct 12:49 p.m.,114,NA,NA,-45.0805,169.25
HQN885,"Near Kawarau Gorge Road, Cromwell 9384.",HQN885,Thu 23 Oct 1:02 p.m.,111,NA,NA,-45.0568,169.156
HQN885,"Near 4361 Te Anau-Mossburn Highway, Centre Hill 9672.",HQN885,Fri 24 Oct 12:29 p.m.,111,NA,NA,-45.589,168.125
HQN885,"Te Anau-Mossburn Highway, Centre Hill 9672.",HQN885,Fri 24 Oct 12:29 p.m.,113,NA,NA,-45.5931,168.128
HQN885,"Near 4488 Te Anau-Mossburn Highway, Centre Hill 9672.",HQN885,Fri 24 Oct 12:29 p.m.,115,NA,NA,-45.5974,168.13
HQN885,"Near Kawarau Gorge Road, Kawarau Gorge 9384.",HQN885,Sat 25 Oct 9:47 a.m.,112,NA,NA,-45.0559,169.03
HQN885,"Near Kawarau Gorge Road, Kawarau Gorge 9384.",HQN885,Sat 25 Oct 9:48 a.m.,116,NA,NA,-45.0581,169.033
HQN885,"Near Kawarau Gorge Road, Kawarau Gorge 9384.",HQN885,Sat 25 Oct 9:48 a.m.,113,NA,NA,-45.0587,169.035
HQN885,"Near Palmerston-Waikouaiti Road, Goodwood 9481.",HQN885,Sat 25 Oct 8:57 p.m.,113,NA,NA,-45.5145,170.697
HQN886,"526 State Highway, Kaitoke 4572.",HQN886,Thu 9 Oct 4:05 p.m.,111,NA,NA,-39.9714,175.11
HQN886,"Near 563 State Highway 1, Queen Elizabeth Park, Paraparaumu 5034.",HQN886,Tue 14 Oct 9:16 a.m.,113,NA,NA,-40.9647,174.986
HQN886,"1039-1155 State Highway, Otaki 5581.",HQN886,Wed 15 Oct 5:18 p.m.,112,NA,NA,-40.7913,175.13
HQN886,"146-178 State Highway, Shannon 4821.",HQN886,Wed 15 Oct 6:01 p.m.,111,NA,NA,-40.533,175.431
HQN886,"Near State Highway, Shannon 4474.",HQN886,Wed 15 Oct 6:02 p.m.,111,NA,NA,-40.5299,175.436
HQN886,"1630 Napier Road, Aokautere 4471.",HQN886,Fri 17 Oct 6:55 a.m.,118,NA,NA,-40.3092,175.766
HQN886,"Near 1631 Napier Road, Aokautere 4471.",HQN886,Fri 17 Oct 6:55 a.m.,112,NA,NA,-40.3083,175.767
HQN886,"267-269 State Highway 1, Otaki 5581.",HQN886,Tue 21 Oct 4:13 p.m.,112,NA,NA,-40.7391,175.182
HQN887,"2096-2322 State Highway, Lower Kaimai 3171.",HQN887,Tue 7 Oct 3:23 p.m.,111,NA,NA,-37.8287,175.992
HQN887,"5352-5376 State Highway, Matamata 3472.",HQN887,Tue 14 Oct 9:02 a.m.,124,NA,NA,-37.8885,175.713
HQN887,"4891-4929 State Highway 1, Kinleith 3491.",HQN887,Thu 16 Oct 6:45 p.m.,111,NA,NA,-38.2729,175.902
HQN887,"1356 Otorohanga Road, Otorohanga 3974.",HQN887,Thu 23 Oct 8:58 a.m.,111,NA,NA,-38.1483,175.304
